# Dataset A, B, C
9.0829,   -2.0575,   3.7873
3.7020,   -0.9540,   -0.7437
5.2081,   3.0743,   5.7162
8.6802,   -1.6585,   -2.4377
9.5536,   0.6835,   2.2855
5.6421,   3.9248,   5.6965
3.2942,   -1.7194,   1.6802
8.4007,   -3.5105,   0.8814
4.8333,   -1.3174,   -1.0445
8.3153,   0.4087,   -2.1692
8.0783,   1.4725,   0.7187
2.9317,   0.2594,   -3.4811
7.2864,   3.5681,   0.4273
3.3225,   -5.0601,   -1.5921
1.2532,   -2.9146,   5.6213
9.7664,   -2.2448,   -2.0243
7.4372,   4.9087,   0.1058
5.9667,   -4.4404,   3.9593
5.4384,   1.1317,   -3.2580
1.1159,   -2.3111,   2.7352
4.7942,   4.9708,   1.9055
7.4479,   0.9191,   3.0030
5.4415,   1.4244,   5.6038
0.9634,   -5.3840,   -0.6415
8.1698,   4.8489,   3.0351
6.7031,   3.5084,   -3.3253
9.9499,   1.9142,   -3.2872
4.5153,   0.8337,   -0.2249
6.6441,   1.8237,   0.6334
0.9180,   -2.0763,   0.4165
9.8411,   -3.2284,   2.1205
5.3720,   -5.9302,   -0.2554
1.6220,   -2.4639,   1.4784
9.9473,   -3.5839,   -2.0063
0.4864,   -1.1974,   -2.6048
8.7557,   0.0296,   -0.4285
7.5679,   2.1490,   -0.8235
1.8027,   1.2026,   5.1042
4.2547,   -6.6837,   1.6786
7.8168,   -0.7574,   2.1266
7.6798,   -0.0228,   -2.2654
1.6873,   -1.5998,   3.0251
4.6530,   -1.9228,   4.5389
0.2456,   2.1376,   4.3592
1.8675,   1.7722,   3.5948
8.4961,   -2.6737,   -0.5420
6.9722,   -3.3677,   -0.5959
3.9540,   3.5636,   -2.3971
0.0737,   1.7435,   3.3777
5.9096,   1.1221,   -0.3445
9.2026,   -1.3694,   -1.8817
0.3143,   -1.4944,   5.7939
1.9249,   -1.9697,   2.7629
8.8187,   2.4535,   -0.8435
4.6702,   0.7049,   3.7162
7.5379,   1.5681,   -1.4692
5.8828,   -2.5077,   -0.0221
5.5459,   -0.1665,   -0.4338
8.9783,   4.0025,   1.8746
4.6531,   -6.0021,   2.8091
7.5461,   1.1026,   0.5892
2.0988,   -0.3690,   5.8079
7.6372,   -4.9839,   -0.5487
2.0201,   0.8743,   -2.5778
3.3409,   1.2180,   -3.3604
4.1303,   -3.6099,   0.0990
4.3856,   6.8197,   3.9752
2.5964,   -3.7143,   1.1560
2.1236,   3.3657,   3.9327
3.7332,   -0.4108,   2.0573
6.7037,   -5.2132,   -1.2635
7.8732,   -6.3362,   -2.9799
5.3000,   -1.4639,   -1.9864
3.5842,   -0.1542,   -2.6746
1.3653,   -5.1534,   -0.9699
2.7792,   3.1586,   3.1963
6.3855,   -5.8731,   3.4279
2.8696,   2.3628,   5.5568
2.9359,   -0.6715,   5.0210
6.8573,   -7.3257,   5.5792
4.0168,   1.9093,   -1.9967
1.2006,   -0.0380,   5.2109
0.9994,   2.3632,   -1.4067
0.3632,   -2.3685,   4.5726
5.3951,   -1.8900,   -2.0638
8.3400,   0.3581,   0.2384
2.0418,   8.1981,   -3.6895
9.9928,   -1.7534,   5.9372
6.7157,   -1.4004,   5.1631
2.1483,   3.2331,   4.1596
9.2547,   1.2237,   4.4055
2.1153,   1.7757,   -0.1905
1.3860,   -0.5343,   4.0435
6.5240,   2.5041,   0.0233
5.9381,   0.8527,   4.1103
5.3585,   0.8152,   0.6156
5.6135,   0.2617,   -3.4737
5.0106,   0.9648,   -0.3851
7.4261,   -3.9435,   -3.3326
5.3335,   6.2118,   5.5459
9.5678,   -1.3708,   -3.1523
7.7436,   -0.9692,   -3.3672
3.6870,   -1.6391,   4.0299
2.5125,   -0.7119,   -3.0376
1.9803,   0.5037,   -1.1838
1.5823,   -0.0235,   4.3012
7.6631,   -0.8324,   2.1753
7.3644,   -2.3532,   3.5736
2.1727,   -1.6993,   0.7536
0.6874,   0.5956,   3.4010
0.3411,   2.0308,   1.8958
8.7359,   -2.3987,   5.6515
7.5544,   0.8122,   1.9113
5.5947,   2.1211,   -0.8039
8.5779,   -1.5918,   2.4854
2.8322,   2.4298,   -2.6613
2.3207,   -0.8176,   4.0634
0.5059,   4.2599,   2.1369
7.4669,   1.3099,   -3.5509
7.4288,   -1.4673,   1.1698
3.9050,   0.4097,   4.2685
9.3400,   0.6725,   -0.5006
2.0307,   0.5402,   -0.4123
0.4795,   -0.2863,   4.3114
8.6610,   3.0919,   -0.8199
7.5547,   -1.6037,   5.1505
6.9095,   0.4165,   -0.1788
4.3660,   1.0017,   3.0664
6.5779,   -1.4961,   5.7437
9.0099,   -0.7142,   2.6152
1.6301,   3.3610,   -3.8015
2.1391,   0.8503,   2.7629
1.8415,   1.5376,   0.1931
0.6714,   1.0688,   -3.2622
8.3689,   1.8018,   5.3924
5.7994,   1.2817,   0.0071
9.0197,   3.4787,   -2.0686
1.6955,   -6.3804,   4.3020
9.0544,   4.6439,   2.6042
1.0186,   0.8080,   0.3660
0.8312,   2.0798,   -0.5789
6.4616,   -3.1265,   1.1829
7.9228,   -0.6515,   0.7663
5.9709,   -2.8036,   -0.7771
5.7464,   2.8631,   -1.7006
4.9629,   -4.8218,   5.4650
3.6334,   -0.0915,   5.3517
4.5466,   2.9881,   0.9706
8.9456,   -0.2432,   -3.4793
4.3908,   0.8865,   -0.2925
3.1763,   2.9399,   0.2863
8.2065,   -2.3555,   0.0016
8.9485,   3.9203,   2.6355
6.2520,   -1.0432,   -3.8783
0.4423,   -5.6698,   1.0896
8.2458,   -3.5012,   -0.1974
1.7799,   -0.7297,   4.0924
6.3026,   -2.6273,   3.4174
9.9835,   -2.4481,   -0.7682
7.6168,   -0.0295,   -2.3903
9.8706,   3.1578,   -2.7917
7.5440,   0.2616,   5.0156
6.3786,   -2.4252,   -3.5524
3.6933,   4.4493,   4.0710
2.7036,   -0.3302,   -0.2878
8.8399,   -1.2333,   0.0959
4.6156,   2.7416,   4.2170
7.9468,   1.9457,   -3.2965
8.8511,   -1.0973,   -3.2159
6.0002,   -0.7484,   -0.4879
2.3531,   -4.2813,   3.1490
7.4733,   2.1316,   1.5530
7.3480,   -1.3204,   5.5101
7.1949,   -5.4465,   0.5998
3.6775,   0.4447,   3.2316
8.0191,   -11.0394,   3.9562
6.5408,   -0.9364,   1.9118
8.4251,   5.1633,   1.3267
5.8553,   1.3730,   5.7968
0.1587,   -2.0132,   5.5762
0.7320,   0.3408,   -2.5711
4.7072,   5.0621,   3.8212
2.3576,   1.9740,   1.2343
9.0503,   6.4854,   1.3006
2.0683,   -3.9726,   5.1234
1.0391,   2.1667,   2.7253
4.9167,   -0.9239,   3.5060
9.9576,   -3.5528,   1.2281
9.8464,   0.2617,   0.1880
4.9479,   0.4112,   3.3622
8.6848,   -0.9219,   1.4783
4.0323,   2.6367,   3.1007
9.8110,   -1.9070,   5.3936
9.2745,   -3.2334,   3.6962
4.6927,   4.9216,   3.0641
3.7646,   1.1993,   3.5653
3.5072,   -4.7074,   -3.6588
2.5502,   -0.3526,   4.6950
6.0412,   -0.8401,   -0.7886
1.0259,   0.1070,   0.7214
6.4469,   -3.1289,   1.2167
5.7460,   -4.0820,   -0.2809
5.9568,   -1.8367,   2.8574
1.5464,   -0.8163,   -2.2451
0.2284,   -6.4409,   2.8045
7.0881,   0.9860,   3.7056
7.0712,   2.2878,   0.5224
8.6498,   -1.8205,   -2.3146
8.5402,   -1.6023,   0.3609
3.6324,   0.9730,   0.1818
6.4803,   -6.1086,   4.5749
2.9357,   3.9448,   4.8623
6.5231,   -1.8883,   2.2050
7.3356,   2.8537,   4.6747
6.3166,   3.2744,   -0.6739
2.8231,   2.3729,   -2.2381
3.4496,   -2.0374,   -3.2387
1.1774,   1.2482,   4.8108
3.3121,   -0.6576,   3.8300
9.4870,   1.7546,   -2.5658
3.4146,   1.5533,   -3.5779
1.3633,   0.3224,   -2.3919
1.9223,   -2.1059,   0.2330
6.9851,   4.9407,   -1.2284
5.0263,   0.5261,   4.2990
2.8371,   0.1352,   2.1543
4.5927,   -2.9287,   5.8207
3.2669,   0.3315,   2.9879
9.3909,   -0.3861,   2.4178
8.7968,   -1.2060,   3.5311
8.7225,   -1.0448,   -0.0516
9.0723,   3.6771,   0.1403
0.9033,   -6.3037,   3.9260
7.6823,   -0.5450,   4.7762
7.3315,   2.4078,   -1.7314
9.4635,   1.9878,   0.1120
5.7287,   0.8048,   1.4955
5.8952,   0.8621,   3.4836
1.3746,   -0.2788,   1.5682
0.3945,   0.6270,   3.1364
6.6166,   4.1551,   -3.2502
9.5310,   1.5801,   -1.5313
6.8352,   -0.0826,   -3.0598
4.0896,   3.5044,   3.8225
9.7203,   -0.6134,   3.5642
9.2689,   2.5744,   -2.5926
5.7075,   -0.5604,   4.6597
6.2281,   -0.7369,   0.6774
7.4097,   -0.9617,   5.5239
0.1828,   -0.5019,   -2.7599
3.5370,   1.4053,   4.0633
5.9250,   1.6289,   -0.0709
9.2847,   4.5744,   -3.9316
2.7193,   -1.2768,   1.9074
4.0658,   -0.4028,   -2.9632
6.9605,   -3.0008,   0.7053
2.7993,   -1.3087,   -2.5547
2.8224,   -2.7945,   -3.0067
9.3509,   -3.0556,   -3.5699
3.1654,   -2.7761,   3.7910
7.9635,   4.7694,   4.2115
2.8091,   -1.4658,   1.4026
0.0968,   -2.3677,   -3.6195
4.9875,   -3.8345,   0.9394
1.8418,   2.3834,   0.6363
1.0197,   1.3861,   4.1952
1.3327,   1.6722,   1.1983
2.3203,   -3.0363,   4.0100
6.1287,   1.0906,   -3.2458
4.9772,   0.1689,   -2.4066
1.3753,   0.8857,   3.2628
9.0311,   -1.3524,   -1.9980
5.0479,   -0.8449,   4.4430
1.0968,   -2.0995,   5.8377
7.8149,   1.6387,   2.1564
8.5934,   -1.3207,   -0.4583
6.9829,   -0.8449,   -0.9694
1.1899,   0.3369,   5.8220
7.5815,   -8.5797,   -0.1802
6.5945,   3.4456,   5.3576
5.2580,   5.1190,   4.1991
3.4213,   -2.2078,   0.9298
5.0607,   -3.4942,   0.8085
0.5374,   -3.1721,   2.6732
1.2794,   -3.0471,   4.5092
9.1799,   -1.2256,   -1.0239
9.2012,   -5.1569,   5.4989
6.4427,   -4.6454,   4.7367
5.9437,   3.9703,   -0.9282
1.5169,   0.4501,   3.3730
2.6881,   -1.0951,   -3.0046
8.5713,   1.2147,   4.3607
9.2411,   -0.8823,   4.2331
4.0345,   1.0890,   1.6288
7.6605,   -1.9933,   4.0134
4.3049,   -1.5265,   1.5540
1.7207,   7.4856,   0.2266
8.8490,   -5.1658,   -3.4244
4.6069,   2.1129,   3.4867
3.1441,   5.7849,   -0.8282
5.6531,   -0.5908,   0.6892
9.7751,   -2.9332,   -3.2231
9.3486,   -1.2895,   -1.3150
7.4037,   -2.1884,   -0.0360
4.5939,   -1.1586,   -1.8775
8.0142,   -2.4322,   4.5726
9.2410,   1.2655,   3.3382
1.3895,   5.2733,   1.5554
8.8590,   -0.0222,   2.0677
9.1950,   0.0556,   -0.5091
4.8387,   5.8510,   -3.5195
0.7446,   0.1459,   3.4281
6.3672,   -0.9937,   -2.9233
8.0217,   -0.7913,   -0.0675
5.9056,   0.6889,   -3.2443
5.0387,   0.7464,   3.1922
8.0811,   -3.4678,   -1.4761
8.3729,   -2.4932,   2.2902
6.3014,   4.0623,   -0.4453
5.6077,   -1.3926,   0.7321
7.3573,   1.2508,   -3.2528
4.1125,   -0.0879,   5.4988
8.7643,   -3.8451,   -1.0447
3.4272,   0.4148,   -0.7307
1.2137,   -2.7662,   1.8641
4.0498,   3.9313,   1.5725
6.1603,   -1.2247,   -0.8339
6.4839,   2.2145,   -2.3530
8.0167,   -2.1209,   -0.4999
9.8260,   1.8409,   -3.6099
6.1445,   -4.6341,   -0.5157
2.0339,   -0.2523,   5.7875
6.4682,   0.0477,   3.5754
0.7177,   -3.3267,   4.8474
3.3010,   1.4178,   4.2697
2.8089,   5.0013,   -0.5998
5.0757,   -1.8440,   3.1889
5.1306,   -3.6998,   -2.0480
4.5181,   -2.9713,   1.6728
5.6176,   3.1104,   3.5186
5.6689,   -1.9780,   4.7314
5.7068,   2.4002,   0.2122
5.6017,   1.7687,   1.1384
2.7612,   3.7403,   2.5543
8.2799,   -2.5235,   4.1957
5.0425,   -0.0047,   -1.0406
2.0815,   -0.3935,   -0.0550
1.2876,   -0.3989,   3.3273
5.4334,   2.5371,   -0.8167
0.6461,   4.7460,   0.1567
3.6231,   -8.3166,   3.9076
5.0878,   -0.2988,   1.7261
2.2779,   -0.1592,   -2.5095
0.2532,   -0.3672,   1.9545
5.0332,   -1.6631,   5.4666
8.2071,   -1.7093,   -1.7225
2.6857,   2.9018,   -2.0559
7.0472,   -3.3075,   -3.2897
0.8894,   -4.2196,   4.3080
9.6259,   2.6624,   2.7049
4.4019,   1.4059,   4.3108
2.0626,   0.7083,   1.5728
8.3547,   -2.8558,   5.9417
9.0457,   2.7258,   -3.2674
9.3269,   -2.0252,   2.2909
2.2324,   -2.4056,   5.3111
1.0757,   1.7519,   5.8129
7.8853,   5.2984,   2.5464
4.7537,   4.2760,   3.0923
6.1430,   3.8895,   1.9003
7.8124,   -1.5850,   -1.1227
9.9907,   -0.3965,   0.0236
5.9843,   0.6973,   -3.5724
0.9797,   -2.5217,   -1.8436
8.9614,   0.6201,   1.3739
6.3512,   3.4192,   -3.3722
8.1221,   -1.4031,   1.8076
0.3450,   0.7473,   5.8702
2.1543,   0.7422,   1.0449
2.5043,   2.1511,   -0.1750
1.8205,   -3.7829,   2.4829
0.5613,   -5.7054,   1.8150
1.3870,   0.0234,   -2.3709
2.7061,   2.7367,   0.0127
9.2276,   1.7776,   -2.6053
6.3487,   3.3772,   -2.9492
4.1227,   0.1002,   1.1120
2.8780,   2.0968,   -0.7858
8.3890,   0.6295,   0.4566
6.6452,   2.2527,   1.8610
8.1747,   -0.5677,   -2.4688
9.7470,   2.0879,   1.6042
3.0873,   -2.2860,   4.9924
5.6429,   0.2138,   2.3199
5.6487,   -2.3898,   -1.0296
7.6070,   -1.8770,   0.6789
4.9066,   -4.0864,   2.5211
9.0404,   -3.2605,   4.0328
6.8724,   2.8120,   3.8105
4.4337,   7.1334,   4.0323
8.2269,   -5.4229,   0.7323
4.4579,   -0.5629,   0.6623
2.4750,   -3.4229,   -2.1712
8.3548,   -3.8957,   -1.0877
1.9282,   2.2930,   0.6055
7.8970,   -1.6431,   -0.7712
4.1733,   -3.7961,   2.4767
8.4758,   -0.6623,   4.2672
8.8202,   -0.5205,   2.4661
9.3820,   2.2138,   -3.1133
0.8570,   4.3142,   3.5389
2.2902,   0.5438,   0.9978
0.3752,   -1.1499,   4.2170
4.6709,   -2.2597,   1.2818
6.5551,   -5.9245,   3.4581
8.6212,   -1.6840,   3.1065
5.6232,   -3.1405,   1.7200
7.4191,   5.8903,   -3.3344
9.2276,   -1.8019,   -0.8535
6.8581,   -5.1089,   5.9967
9.3048,   -2.3663,   -1.5047
5.8875,   3.5469,   0.2690
9.8522,   0.7063,   -1.6228
0.2017,   0.0617,   5.9934
9.4307,   1.7290,   -3.0187
4.3748,   -0.1786,   5.5803
2.4417,   -4.3344,   -2.1241
4.6189,   -3.3753,   3.7604
0.2104,   -2.1150,   4.4343
3.8823,   -0.7719,   1.8392
4.0745,   1.4493,   5.1665
7.0558,   -2.7242,   -1.4137
7.2931,   -2.4567,   4.1441
9.8147,   0.0450,   -3.0758
1.2105,   4.7278,   -3.5853
7.3239,   1.6360,   3.3908
9.1334,   0.6737,   -3.8603
0.2856,   -6.0205,   -2.0217
2.5860,   -0.7543,   0.0988
0.3694,   1.6968,   -0.6986
3.1145,   0.9132,   -2.0515
7.3546,   5.3174,   2.2195
6.2810,   -1.0709,   5.4163
4.8332,   1.5466,   0.3869
2.9521,   -4.9193,   -0.5021
1.9121,   -1.9321,   3.1487
0.1754,   -0.4145,   -3.0880
0.3808,   -0.3628,   -2.9541
1.8016,   7.2901,   2.5952
7.7279,   -5.1766,   -0.8707
0.8294,   -4.6993,   2.9085
9.9275,   1.4975,   5.8487
9.0527,   -5.0696,   2.9206
7.7773,   -0.8715,   5.9412
5.5097,   -0.2892,   -2.9647
3.1909,   -0.9122,   -3.2515
8.6783,   4.2048,   3.1854
5.4875,   -2.7432,   -1.2810
1.0529,   -1.3808,   -3.2849
9.9162,   -0.5082,   -1.1990
0.3472,   -4.5086,   1.9086
9.3554,   -4.7295,   -1.7901
3.0602,   2.0203,   5.5187
6.6183,   0.9265,   0.5577
0.7958,   0.9180,   -1.1995
5.8705,   1.8827,   2.7478
4.0040,   -0.8057,   -1.3172
9.5320,   0.1796,   -0.5985
3.0961,   -3.9596,   5.2833
9.8566,   2.4722,   2.9286
2.4380,   1.3570,   -0.8961
9.1771,   1.0538,   0.9100
0.8532,   -2.9447,   4.0444
5.3559,   -2.6164,   -0.2263
7.7924,   -1.5129,   3.6499
7.1449,   -6.6895,   5.9900
2.7551,   -6.6531,   -2.3702
4.6877,   2.3717,   -1.9137
8.2217,   5.2710,   -0.2412
4.2579,   3.7927,   -1.2200
2.6275,   -0.8378,   4.8767
8.2142,   -0.3408,   0.1525
0.1876,   3.6034,   1.3469
0.0451,   -0.3147,   4.4908
1.8697,   2.3268,   3.7435
5.9497,   -3.2056,   5.0840
5.8375,   2.2549,   2.5511
6.0016,   -6.0313,   -1.5145
7.8367,   1.2201,   5.6814
1.5526,   1.8624,   5.9181
9.8352,   -5.2868,   3.8171
2.6640,   -1.8663,   1.8022
3.1374,   1.3987,   3.3475
3.6264,   0.5038,   0.3733
7.6481,   1.8527,   4.9005
0.6874,   -2.5469,   4.0229
2.6667,   0.7294,   3.7773
1.8571,   1.1760,   3.7147
1.0290,   -1.4481,   0.1201
7.1608,   1.0285,   -2.1948
0.8892,   -1.3357,   -0.1347
6.9036,   3.2241,   2.4140
4.2201,   -0.3126,   4.9586
3.3823,   -3.2340,   4.4865
9.3781,   0.1982,   2.6469
6.1031,   0.1977,   -3.4156
4.3755,   -1.4933,   2.6458
2.3895,   -6.7815,   -3.5769
7.2273,   -5.1998,   5.9842
4.6233,   -0.0219,   -2.3965
8.9694,   -0.7570,   -1.0556
3.2029,   1.0933,   5.6389
3.2756,   -6.2525,   -1.4082
4.3553,   -5.0645,   4.5167
5.9567,   0.1685,   1.8940
2.2849,   3.6532,   2.1687
4.5578,   4.3151,   -3.0840
4.7790,   0.1490,   -0.7045
9.2691,   6.4317,   2.6029
7.7527,   -0.0239,   0.3973
6.8871,   2.0961,   -3.5987
3.7356,   -3.0805,   -3.5977
7.9542,   -1.2604,   5.7427
5.6950,   -1.3325,   -3.1712
7.7009,   0.7693,   -1.8198
0.3208,   4.3046,   -0.3169
0.1076,   0.6287,   2.5279
1.1498,   -3.8422,   0.4286
8.2533,   0.0195,   -1.9167
8.8157,   1.7614,   4.7831
2.7828,   -2.2767,   -3.2016
3.2326,   -2.0492,   -0.9480
9.2298,   -1.5329,   4.5635
6.9976,   -3.4188,   -0.3897
8.5705,   -3.1270,   -0.2947
9.2243,   0.6250,   2.3013
1.0867,   -0.0269,   4.9737
8.0366,   -2.4567,   2.8721
7.1248,   0.5241,   -3.8389
2.1580,   1.0645,   5.3943
3.1854,   9.8093,   0.3678
1.7290,   -2.7758,   1.6060
3.5191,   -1.2650,   3.7735
6.5193,   -5.0734,   4.9907
0.1259,   0.5040,   1.0593
2.8360,   -0.0684,   1.2875
9.0224,   0.9849,   1.3123
4.4235,   -1.8300,   0.8035
0.7114,   -3.0522,   -0.0708
3.7595,   4.2484,   4.7955
9.3725,   1.7601,   2.7747
2.0984,   -0.6183,   -1.7609
4.1912,   0.3147,   -2.5653
6.4281,   -3.0835,   1.5561
9.0539,   2.7431,   5.8682
4.4183,   -1.2219,   0.0060
0.9157,   -6.5226,   1.2261
4.9047,   3.9068,   0.9754
7.8417,   3.0620,   2.5371
1.2624,   0.7555,   5.7789
3.1521,   -1.3161,   -3.3371
4.1679,   1.3591,   -1.8345
8.7359,   0.5935,   0.7981
4.4918,   -1.2060,   -3.6148
5.7642,   2.1758,   5.9290
8.7580,   -0.1762,   1.1018
4.0737,   1.0286,   -2.2078
3.5765,   -0.4897,   -2.9027
4.7396,   -0.2707,   -2.8073
7.6747,   -1.5982,   3.5640
4.6251,   0.4062,   1.0214
6.2600,   3.3181,   -3.2549
5.2265,   0.7026,   -0.1802
4.0509,   1.4470,   -3.1419
8.2772,   4.3596,   1.3393
4.2897,   -0.6766,   3.5842
8.3608,   -3.6280,   1.7862
3.2720,   3.2979,   3.5191
5.1916,   -1.8355,   5.8154
3.6179,   0.9873,   -3.7939
4.3350,   -6.1946,   4.8000
7.7852,   1.1982,   2.4994
5.8547,   4.6422,   -0.0024
9.2948,   5.6857,   -2.7775
5.6999,   5.3648,   5.0954
3.8691,   2.2416,   -1.3771
4.7071,   -3.0334,   2.6300
6.6918,   -1.5108,   5.6723
7.6937,   -3.1671,   0.5564
3.8947,   -3.3409,   0.6548
6.4470,   2.9825,   3.5228
1.6670,   -3.7809,   -3.5486
1.9077,   -4.0016,   -3.7535
2.1349,   0.6227,   -2.5863
0.1111,   -2.7676,   2.1011
4.2541,   3.0459,   3.3139
4.3141,   -2.1998,   2.5192
1.9504,   0.7063,   1.0134
8.1584,   -1.0930,   3.7171
8.4804,   -0.7206,   4.5534
7.1033,   -0.2934,   0.1106
2.8857,   3.6069,   5.1446
7.6700,   4.9313,   4.7652
1.8955,   3.5150,   -0.3147
5.8400,   3.7616,   -0.5312
7.9906,   1.6463,   4.7166
1.5139,   -3.2937,   2.8489
5.7676,   3.0305,   3.1558
7.1674,   -5.7444,   3.4129
8.4773,   0.1813,   4.8299
6.1629,   0.5886,   1.0641
2.7961,   4.8881,   5.4642
6.9219,   4.2804,   1.4287
9.6772,   -0.4522,   -1.3285
3.9492,   -0.2305,   5.2860
3.7926,   0.5007,   0.2052
5.8939,   5.7698,   2.2062
7.9691,   2.0772,   5.6722
2.9651,   -2.4451,   2.8528
7.8176,   0.8270,   0.5920
3.8494,   -0.5835,   -2.5744
1.2165,   1.9185,   3.7646
4.2832,   5.5621,   2.0691
3.9489,   -2.2629,   3.3264
4.8659,   -1.2690,   5.7956
4.1557,   0.4392,   -1.9637
6.8684,   0.9467,   -0.5816
7.0867,   1.8275,   1.7382
9.7381,   0.1270,   -0.8443
2.4501,   1.1885,   5.2554
9.9695,   0.8520,   1.6503
0.1723,   -1.5247,   1.0840
5.4939,   -2.6942,   -0.2227
9.7641,   -0.9551,   -0.6918
1.3532,   -1.1283,   1.3593
9.5145,   1.7552,   -0.2120
5.0544,   6.5895,   0.7594
4.0805,   2.6928,   -0.0879
9.1551,   1.1610,   1.8641
1.6173,   -0.2844,   -1.6428
3.0239,   1.1286,   4.3722
1.1946,   2.8273,   -0.6274
3.3313,   -1.4808,   -3.6515
1.5641,   3.5140,   2.2135
9.0550,   -0.4070,   1.1020
3.2537,   8.0002,   5.1283
3.5105,   -4.7161,   -3.9963
5.2995,   1.5169,   -3.1015
7.8795,   -0.6296,   -0.5742
6.4208,   -1.9560,   -2.7650
2.5270,   1.7650,   -3.9584
5.8728,   2.7094,   -0.5986
2.9765,   -5.9714,   5.0174
4.4209,   -2.5873,   5.2310
3.1277,   4.9063,   5.2672
8.5220,   6.9780,   0.7698
0.9473,   -1.4380,   -0.8496
9.4949,   -2.8942,   -1.9685
7.5612,   -1.2934,   1.9062
